Time      x1      y1      z1	x2	y2	z2	x3	y3	z3	x4	y4	z4
29.895	-1.79442	0.984401	0.149416	-1.78569	1.26646	0.145743	-2.18567	1.28616	0.152816
30.049	-1.79434	0.984381	0.14927	-1.78564	1.26646	0.145639	-2.18561	1.28616	0.152711
30.265	-1.79434	0.984392	0.149287	-1.78562	1.26647	0.145603	-2.18543	1.28643	0.152769
30.433	-1.79444	0.984407	0.149459	-1.78571	1.26653	0.145772	-2.18567	1.28616	0.152814
30.588	-1.79444	0.984414	0.149454	-1.78575	1.26648	0.145778	-2.18551	1.28633	0.152766
30.78	-1.79434	0.984409	0.149306	-1.78568	1.26651	0.145647	-2.18543	1.28626	0.15256
30.905	-1.79439	0.984421	0.149417	-1.78567	1.26648	0.145668	-2.18551	1.28627	0.152671
31.077	-1.79445	0.984405	0.149472	-1.78576	1.26647	0.145742	-2.18558	1.28626	0.152816
31.272	-1.79439	0.984398	0.149378	-1.78571	1.26647	0.145715	-2.18562	1.28614	0.152765
31.442	-1.79433	0.984413	0.149293	-1.78564	1.26645	0.145568	-2.18556	1.28615	0.152696
31.653	-1.79445	0.984432	0.149442	-1.78566	1.26644	0.145573	-2.18563	1.2862	0.15281
31.783	-1.79446	0.984393	0.149428	-1.78573	1.26645	0.145653	-2.18568	1.28619	0.152887
31.942	-1.79439	0.984407	0.149342	-1.78566	1.26643	0.1456	-2.18562	1.28612	0.152709
32.145	-1.79439	0.984409	0.149381	-1.78561	1.26637	0.145528	-2.18536	1.28669	0.153154
32.396	-1.79449	0.984424	0.149489	-1.78627	1.26666	0.146601	-2.18545	1.28669	0.153282
32.575	-1.79442	0.984383	0.149369	-1.78626	1.26663	0.146563	-2.18544	1.28668	0.153221
32.9	-1.79432	0.984355	0.149229	-1.78611	1.26664	0.14637	-2.18541	1.28663	0.153042
33.131	-1.79434	0.984192	0.149102	-1.78471	1.26645	0.145212	-2.18549	1.2866	0.153143
33.356	-1.79444	0.984312	0.149355	-1.78628	1.26657	0.146516	-2.18554	1.2865	0.153163
33.647	-1.79422	0.984204	0.148971	-1.78624	1.26654	0.146473	-2.18564	1.28616	0.152786
